longitude	time	latitude	msl
-107.19352670532624	2017-09-20 12:00:00	18.2	101044.41773283327
-106.92681761183768	2017-09-20 12:00:00	18.2	101029.71521103132
-105.43337240992972	2017-09-20 12:00:00	18.2	100949.5472779774
-104.98687702594856	2017-09-20 12:00:00	18.2	100952.38028879055
-104.95391444042316	2017-09-20 12:00:00	18.2	100951.81271427103
-104.0661630372368	2017-09-20 12:00:00	18.2	100947.52189035653
-103.80357908141794	2017-09-20 12:00:00	18.2	100944.57771107696
-103.74306262328416	2017-09-20 12:00:00	18.2	100944.18578630027
-103.52999897686108	2017-09-20 12:00:00	18.2	100963.1364660018
-103.35135934996214	2017-09-20 12:00:00	18.2	100995.93879228299
-103.03515326533461	2017-09-20 12:00:00	18.2	101056.32277019115
-102.87683979741021	2017-09-20 12:00:00	18.2	101086.8299232107
-102.5891834896321	2017-09-20 12:00:00	18.2	101142.87404985476
-102.58829076900699	2017-09-20 12:00:00	18.2	101143.04801320707
-102.53232935926248	2017-09-20 12:00:00	18.2	101153.95314317223
-102.35100525223605	2017-09-20 12:00:00	18.2	101149.00588397817
-102.1770661370884	2017-09-20 12:00:00	18.2	101144.88663378618
-102.05734369166586	2017-09-20 12:00:00	18.2	101150.6407938193
-101.93746273960897	2017-09-20 12:00:00	18.2	101154.52645426581
-101.75341805996582	2017-09-20 12:00:00	18.2	101157.85076129188
-101.67300705663367	2017-09-20 12:00:00	18.2	101191.66428154822
-101.64163693179027	2017-09-20 12:00:00	18.2	101205.41616002643
-101.52584485872877	2017-09-20 12:00:00	18.2	101256.17651005476
-101.45540661456626	2017-09-20 12:00:00	18.2	101280.56096358573
-100.97252032608502	2017-09-20 12:00:00	18.2	101223.92438907665
-100.64237531485405	2017-09-20 12:00:00	18.2	101142.51156668826
-100.44834163362783	2017-09-20 12:00:00	18.2	101169.56584945963
-100.27103192110519	2017-09-20 12:00:00	18.2	101222.84852625839
-100.26456157796689	2017-09-20 12:00:00	18.2	101224.79290481108
